year,state,state_code,county,candidate,party,candidate_votes,total_votes
2012,California,CA,San Luis Obispo,Barack Obama,democrat,61258.0,125638
2012,California,CA,San Luis Obispo,Mitt Romney,republican,59967.0,125638
2012,California,CA,San Mateo,Barack Obama,democrat,206085.0,285720
2012,California,CA,San Mateo,Mitt Romney,republican,72756.0,285720
2012,California,CA,Santa Barbara,Barack Obama,democrat,94129.0,163320
2012,California,CA,Santa Barbara,Mitt Romney,republican,64606.0,163320
2012,California,CA,Santa Clara,Barack Obama,democrat,450818.0,643091
2012,California,CA,Santa Clara,Mitt Romney,republican,174843.0,643091
2012,California,CA,Santa Cruz,Barack Obama,democrat,90805.0,120095
2012,California,CA,Santa Cruz,Mitt Romney,republican,24047.0,120095
2012,California,CA,Shasta,Barack Obama,democrat,25819.0,76335
2012,California,CA,Shasta,Mitt Romney,republican,48067.0,76335
2012,California,CA,Sierra,Barack Obama,democrat,653.0,1795
2012,California,CA,Sierra,Mitt Romney,republican,1056.0,1795
2012,California,CA,Siskiyou,Barack Obama,democrat,8046.0,19910
2012,California,CA,Siskiyou,Mitt Romney,republican,11077.0,19910
2012,California,CA,Solano,Barack Obama,democrat,96783.0,152444
2012,California,CA,Solano,Mitt Romney,republican,52092.0,152444
2012,California,CA,Sonoma,Barack Obama,democrat,153942.0,216508
2012,California,CA,Sonoma,Mitt Romney,republican,54784.0,216508
2012,California,CA,Stanislaus,Barack Obama,democrat,77724.0,155369
2012,California,CA,Stanislaus,Mitt Romney,republican,73459.0,155369
2012,California,CA,Sutter,Barack Obama,democrat,12192.0,31026
2012,California,CA,Sutter,Mitt Romney,republican,18122.0,31026
2012,California,CA,Tehama,Barack Obama,democrat,7934.0,22977
2012,California,CA,Tehama,Mitt Romney,republican,14235.0,22977
2012,California,CA,Trinity,Barack Obama,democrat,2674.0,5674
2012,California,CA,Trinity,Mitt Romney,republican,2716.0,5674
2012,California,CA,Tulare,Barack Obama,democrat,41752.0,101100
2012,California,CA,Tulare,Mitt Romney,republican,56956.0,101100
2012,California,CA,Tuolumne,Barack Obama,democrat,9998.0,24687
2012,California,CA,Tuolumne,Mitt Romney,republican,13880.0,24687
2012,California,CA,Ventura,Barack Obama,democrat,170929.0,326974
2012,California,CA,Ventura,Mitt Romney,republican,147958.0,326974
2012,California,CA,Yolo,Barack Obama,democrat,48715.0,74475
2012,California,CA,Yolo,Mitt Romney,republican,23368.0,74475
