Location,total_votes,2008_democrat_votes,2008_republican_votes
"Georgia, Dawson",9974,1632.0,8242.0
"Georgia, Decatur",10374,4424.0,5890.0
"Georgia, DeKalb",322301,254594.0,65581.0
"Georgia, Dodge",8212,2595.0,5543.0
"Georgia, Dooly",4160,2138.0,1991.0
"Georgia, Dougherty",38846,26135.0,12547.0
"Georgia, Douglas",55083,27825.0,26812.0
"Georgia, Early",5335,2603.0,2711.0
"Georgia, Echols",1187,201.0,981.0
"Georgia, Effingham",20316,4936.0,15230.0
"Georgia, Elbert",8317,3366.0,4868.0
"Georgia, Emanuel",8242,3068.0,5110.0
"Georgia, Evans",3855,1374.0,2462.0
"Georgia, Fannin",10584,2611.0,7807.0
"Georgia, Fayette",59321,20313.0,38501.0
"Georgia, Floyd",34213,10691.0,23132.0
"Georgia, Forsyth",75376,15406.0,59166.0
"Georgia, Franklin",8073,1914.0,6069.0
"Georgia, Fulton",405628,272000.0,130136.0
"Georgia, Gilmer",11149,2614.0,8408.0
"Georgia, Glascock",1428,210.0,1202.0
"Georgia, Glynn",33341,12676.0,20479.0
"Georgia, Gordon",17607,4268.0,13113.0
"Georgia, Grady",9365,3539.0,5775.0
"Georgia, Greene",7919,3339.0,4532.0
"Georgia, Gwinnett",290147,129025.0,158746.0
"Georgia, Habersham",14808,2900.0,11766.0
"Georgia, Hall",59928,14457.0,44962.0
"Georgia, Hancock",4344,3535.0,795.0
"Georgia, Haralson",11097,2248.0,8658.0
"Georgia, Harris",14908,4184.0,10648.0
"Georgia, Hart",10002,3365.0,6537.0
"Georgia, Heard",4225,1042.0,3133.0
"Georgia, Henry",88229,40527.0,47115.0
"Georgia, Houston",55931,22094.0,33392.0
"Georgia, Irwin",3828,1197.0,2605.0
"Georgia, Jackson",22960,4950.0,17776.0
"Georgia, Jasper",5904,1935.0,3916.0
"Georgia, Jeff Davis",5278,1356.0,3867.0
"Georgia, Jefferson",7234,4149.0,3061.0
"Georgia, Jenkins",3440,1482.0,1936.0
"Georgia, Johnson",3647,1198.0,2426.0
"Georgia, Jones",12438,4572.0,7782.0
"Georgia, Lamar",7688,2752.0,4873.0
"Georgia, Lanier",2873,1062.0,1787.0
"Georgia, Laurens",19937,7769.0,12052.0
"Georgia, Lee",13087,3100.0,9925.0
"Georgia, Liberty",16376,10474.0,5828.0
"Georgia, Lincoln",4416,1650.0,2731.0
"Georgia, Long",3450,1288.0,2119.0
"Georgia, Lowndes",39240,17651.0,21296.0
"Georgia, Lumpkin",11075,2586.0,8326.0
"Georgia, McDuffie",9544,3989.0,5400.0
"Georgia, McIntosh",6236,2905.0,3282.0
"Georgia, Macon",4984,3251.0,1712.0
"Georgia, Madison",11365,2965.0,8226.0
"Georgia, Marion",3188,1381.0,1772.0
"Georgia, Meriwether",9504,4465.0,4982.0
"Georgia, Miller",2738,818.0,1899.0
"Georgia, Mitchell",8120,3872.0,4201.0
"Georgia, Monroe",12131,4106.0,7933.0
"Georgia, Montgomery",3590,1045.0,2521.0
"Georgia, Morgan",9151,3091.0,5987.0
"Georgia, Murray",11382,3026.0,8180.0
"Georgia, Muscogee",74065,44158.0,29568.0
"Georgia, Newton",41435,20827.0,20337.0
"Georgia, Oconee",17132,4825.0,12120.0
"Georgia, Oglethorpe",6447,2232.0,4144.0
"Georgia, Paulding",56985,17229.0,39192.0
"Georgia, Peach",11165,5927.0,5173.0
"Georgia, Pickens",12786,2595.0,10004.0
"Georgia, Pierce",6791,1253.0,5500.0
"Georgia, Pike",8203,1575.0,6547.0
"Georgia, Polk",14113,4052.0,9850.0
"Georgia, Pulaski",3953,1377.0,2553.0
"Georgia, Putnam",9132,3102.0,5966.0
"Georgia, Quitman",1114,597.0,509.0
"Georgia, Rabun",7599,2001.0,5487.0
"Georgia, Randolph",3215,1833.0,1370.0
"Georgia, Richmond",79333,52100.0,26842.0
"Georgia, Rockdale",37706,20526.0,16921.0
"Georgia, Schley",1738,479.0,1252.0
"Georgia, Screven",6481,3024.0,3423.0
"Georgia, Seminole",3996,1660.0,2315.0
"Georgia, Spalding",25255,10141.0,14885.0
"Georgia, Stephens",10517,2705.0,7689.0
"Georgia, Stewart",2105,1305.0,783.0
"Georgia, Sumter",12235,6454.0,5717.0
"Georgia, Talbot",3700,2369.0,1301.0
"Georgia, Taliaferro",990,643.0,339.0
"Georgia, Tattnall",6714,1932.0,4730.0
"Georgia, Taylor",3583,1536.0,2021.0
"Georgia, Telfair",4374,1862.0,2486.0
"Georgia, Terrell",4416,2501.0,1890.0
"Georgia, Thomas",18459,7720.0,10642.0
"Georgia, Tift",14257,4749.0,9431.0
"Georgia, Toombs",9688,2964.0,6658.0
"Georgia, Towns",5739,1391.0,4292.0
"Georgia, Treutlen",2954,1112.0,1826.0
"Georgia, Troup",26028,10455.0,15391.0
"Georgia, Turner",3553,1427.0,2096.0
"Georgia, Twiggs",4519,2402.0,2087.0
"Georgia, Union",10634,2486.0,8013.0
"Georgia, Upson",11421,4061.0,7291.0
"Georgia, Walker",23542,6095.0,17110.0
"Georgia, Walton",36026,8469.0,27253.0
"Georgia, Ware",12416,4034.0,8311.0
"Georgia, Warren",2660,1554.0,1087.0
"Georgia, Washington",8863,4607.0,4216.0
"Georgia, Wayne",10560,2858.0,7601.0
"Georgia, Webster",1111,515.0,588.0
"Georgia, Wheeler",2210,794.0,1408.0
"Georgia, White",10761,2174.0,8467.0
"Georgia, Whitfield",27677,8167.0,19230.0
"Georgia, Wilcox",3163,978.0,2159.0
"Georgia, Wilkes",5052,2315.0,2705.0
"Georgia, Wilkinson",4673,2298.0,2349.0
"Georgia, Worth",8370,2542.0,5780.0
"Hawaii, Hawaii",66916,50819.0,14866.0
"Hawaii, Honolulu",306813,214239.0,88164.0
"Hawaii, Kauai",27224,20416.0,6245.0
"Hawaii, Maui",51789,39727.0,11154.0
"Idaho, Ada",179402,82236.0,93328.0
"Idaho, Adams",2320,728.0,1517.0
"Idaho, Bannock",35105,14792.0,19356.0
"Idaho, Bear Lake",2943,502.0,2377.0
"Idaho, Benewah",4164,1407.0,2646.0
"Idaho, Bingham",17155,4424.0,12230.0
"Idaho, Blaine",10571,6947.0,3439.0
"Idaho, Boise",3773,1240.0,2433.0
"Idaho, Bonner",19547,7840.0,11145.0
"Idaho, Bonneville",41703,11417.0,29334.0
"Idaho, Boundary",4733,1484.0,3078.0
"Idaho, Butte",1410,318.0,1056.0
"Idaho, Camas",618,187.0,422.0
"Idaho, Canyon",64246,20147.0,42752.0
"Idaho, Caribou",3302,553.0,2656.0
"Idaho, Cassia",7842,1332.0,6309.0
"Idaho, Clark",375,64.0,305.0
"Idaho, Clearwater",3906,1211.0,2569.0
"Idaho, Custer",2352,611.0,1694.0
"Idaho, Elmore",8436,2591.0,5665.0
"Idaho, Franklin",5073,600.0,4246.0
"Idaho, Fremont",5880,1065.0,4700.0
"Idaho, Gem",7947,2166.0,5585.0
"Idaho, Gooding",5391,1489.0,3765.0
"Idaho, Idaho",8210,2017.0,5895.0
"Idaho, Jefferson",10441,1641.0,8540.0
"Idaho, Jerome",6847,1794.0,4897.0
"Idaho, Kootenai",61932,22120.0,38387.0
"Idaho, Latah",17714,9195.0,7988.0
"Idaho, Lemhi",4105,1061.0,2938.0
"Idaho, Lewis",1804,479.0,1275.0
"Idaho, Lincoln",1870,545.0,1232.0
"Idaho, Madison",13057,1627.0,11131.0
"Idaho, Minidoka",6890,1630.0,5087.0
"Idaho, Nez Perce",17823,7123.0,10357.0
"Idaho, Oneida",2162,381.0,1724.0
"Idaho, Owyhee",4058,944.0,3024.0
"Idaho, Payette",8613,2415.0,5988.0
"Idaho, Power",2842,1027.0,1754.0
"Idaho, Shoshone",5666,2521.0,2953.0
"Idaho, Teton",4658,2302.0,2263.0
"Idaho, Twin Falls",28344,8621.0,19032.0
"Idaho, Valley",5296,2405.0,2772.0
"Idaho, Washington",4506,1241.0,3168.0
"Illinois, Adams",30823,11794.0,18711.0
"Illinois, Alexander",3937,2189.0,1692.0
"Illinois, Bond",7924,3843.0,3947.0
"Illinois, Boone",22157,11333.0,10403.0
"Illinois, Brown",2569,986.0,1544.0
"Illinois, Bureau",17113,8889.0,7911.0
"Illinois, Calhoun",2699,1423.0,1221.0
"Illinois, Carroll",7674,3965.0,3596.0
"Illinois, Cass",5408,2690.0,2617.0
"Illinois, Champaign",84143,48597.0,33871.0
"Illinois, Christian",15100,6918.0,7872.0
"Illinois, Clark",8288,3742.0,4409.0
"Illinois, Clay",6454,2425.0,3926.0
"Illinois, Clinton",17314,7657.0,9357.0
"Illinois, Coles",23076,11716.0,10978.0
"Illinois, Cook",2137466,1629024.0,487736.0
"Illinois, Crawford",9129,3883.0,5070.0
"Illinois, Cumberland",5321,2055.0,3156.0
"Illinois, DeKalb",44818,25784.0,18266.0
"Illinois, De Witt",7801,3308.0,4348.0
"Illinois, Douglas",8356,3228.0,5005.0
"Illinois, DuPage",417973,228698.0,183626.0
"Illinois, Edgar",8255,3743.0,4398.0
