Location,total_votes,2000_republican_votes,2000_democrat_votes
"Ohio, Seneca",24351,13863,9512
"Ohio, Shelby",19670,12476,6593
"Ohio, Stark",159844,78153,75308
"Ohio, Summit",224839,96721,119759
"Ohio, Trumbull",96239,34654,57643
"Ohio, Tuscarawas",37118,19549,15879
"Ohio, Union",17024,11502,5040
"Ohio, Van Wert",13219,8679,4209
"Ohio, Vinton",4946,2720,2037
"Ohio, Warren",69078,48318,19142
"Ohio, Washington",26515,15342,10383
"Ohio, Wayne",42436,25901,14779
"Ohio, Williams",15919,9941,5454
"Ohio, Wood",52194,27504,22687
"Ohio, Wyandot",9827,6113,3397
"Oklahoma, Adair",5977,3503,2361
"Oklahoma, Alfalfa",2507,1886,583
"Oklahoma, Atoka",4324,2375,1906
"Oklahoma, Beaver",2456,2092,339
"Oklahoma, Beckham",6532,4067,2408
"Oklahoma, Blaine",4094,2633,1402
"Oklahoma, Bryan",11746,6084,5554
"Oklahoma, Caddo",9210,4835,4272
"Oklahoma, Canadian",31360,22679,8367
"Oklahoma, Carter",16458,9667,6659
"Oklahoma, Cherokee",14468,6918,7256
"Oklahoma, Choctaw",5315,2461,2799
"Oklahoma, Cimarron",1484,1230,227
"Oklahoma, Cleveland",76171,47393,27792
"Oklahoma, Coal",2362,1196,1148
"Oklahoma, Comanche",29333,17103,11971
"Oklahoma, Cotton",2482,1388,1068
"Oklahoma, Craig",5484,2815,2568
"Oklahoma, Creek",23741,13580,9753
"Oklahoma, Custer",9743,6527,3115
"Oklahoma, Delaware",13353,7618,5514
"Oklahoma, Dewey",2220,1607,599
"Oklahoma, Ellis",2013,1513,468
"Oklahoma, Garfield",21683,14902,6543
"Oklahoma, Garvin",9843,5536,4189
"Oklahoma, Grady",16276,10040,6037
"Oklahoma, Grant",2503,1762,709
"Oklahoma, Greer",2152,1287,839
"Oklahoma, Harmon",1205,692,507
"Oklahoma, Harper",1683,1296,374
"Oklahoma, Haskell",4628,2039,2510
"Oklahoma, Hughes",4585,2196,2334
"Oklahoma, Jackson",8159,5591,2515
"Oklahoma, Jefferson",2593,1320,1245
"Oklahoma, Johnston",3930,2072,1809
"Oklahoma, Kay",18162,11768,6122
"Oklahoma, Kingfisher",6056,4693,1304
"Oklahoma, Kiowa",3750,2173,1544
"Oklahoma, Latimer",3669,1739,1865
"Oklahoma, Le Flore",14985,8215,6536
"Oklahoma, Lincoln",11701,7387,4140
"Oklahoma, Logan",12870,8187,4510
"Oklahoma, Love",3372,1807,1530
"Oklahoma, McClain",10539,6750,3679
"Oklahoma, McCurtain",10482,6601,3752
"Oklahoma, McIntosh",7781,3444,4206
"Oklahoma, Major",3352,2672,635
"Oklahoma, Marshall",4900,2641,2210
"Oklahoma, Mayes",14001,7132,6618
"Oklahoma, Murray",4922,2609,2263
"Oklahoma, Muskogee",24693,11820,12520
"Oklahoma, Noble",4697,3230,1416
"Oklahoma, Nowata",3849,2069,1703
"Oklahoma, Okfuskee",3788,1910,1814
"Oklahoma, Oklahoma",223111,139078,81590
"Oklahoma, Okmulgee",13178,5797,7186
"Oklahoma, Osage",15909,8138,7540
"Oklahoma, Ottawa",11411,5625,5647
"Oklahoma, Pawnee",5925,3386,2435
"Oklahoma, Payne",24947,15256,9319
"Oklahoma, Pittsburg",16357,8514,7627
"Oklahoma, Pontotoc",12836,7299,5387
"Oklahoma, Pottawatomie",22316,13235,8763
"Oklahoma, Pushmataha",4348,2331,1969
"Oklahoma, Roger Mills",1687,1234,441
"Oklahoma, Rogers",28951,17713,10813
"Oklahoma, Seminole",7866,4011,3783
"Oklahoma, Sequoyah",12254,6614,5425
"Oklahoma, Stephens",17488,10860,6467
"Oklahoma, Texas",6088,4964,1084
"Oklahoma, Tillman",3349,1920,1400
"Oklahoma, Tulsa",218691,134152,81656
"Oklahoma, Wagoner",21517,12981,8244
"Oklahoma, Washington",20744,13788,6644
"Oklahoma, Washita",4468,2850,1564
"Oklahoma, Woods",4046,2774,1235
"Oklahoma, Woodward",7100,5067,1950
"Oregon, Baker",8258,5618,2195
"Oregon, Benton",38226,15825,19444
"Oregon, Clackamas",162262,77539,76421
"Oregon, Clatsop",16474,6950,8296
"Oregon, Columbia",21195,9369,10331
"Oregon, Coos",29379,15626,11610
"Oregon, Crook",8277,5363,2474
"Oregon, Curry",11513,6551,4090
"Oregon, Deschutes",57885,32132,22061
"Oregon, Douglas",47220,30294,14193
"Oregon, Gilliam",1090,679,359
"Oregon, Grant",3846,3078,589
"Oregon, Harney",3734,2799,766
"Oregon, Hood River",8549,3721,4072
"Oregon, Jackson",84796,46052,33153
"Oregon, Jefferson",6897,3838,2681
"Oregon, Josephine",36733,22186,11864
"Oregon, Klamath",27844,18855,7541
"Oregon, Lake",3729,2830,707
"Oregon, Lane",152188,61578,78583
"Oregon, Lincoln",21118,8446,10861
"Oregon, Linn",44388,25359,16682
"Oregon, Malheur",10404,7624,2336
"Oregon, Marion",113334,57443,49430
"Oregon, Morrow",3609,2224,1197
"Oregon, Multnomah",296685,83677,188441
"Oregon, Polk",28449,14988,11921
"Oregon, Sherman",1062,679,326
"Oregon, Tillamook",12376,5775,5762
"Oregon, Umatilla",23060,14140,7809
"Oregon, Union",12076,7836,3577
"Oregon, Wallowa",4294,3279,836
"Oregon, Wasco",10664,5356,4616
"Oregon, Washington",185974,86091,90662
"Oregon, Wheeler",841,584,202
"Oregon, Yamhill",35539,19193,14254
"Pennsylvania, Adams",33433,20848,11682
"Pennsylvania, Allegheny",582478,235361,329963
"Pennsylvania, Armstrong",27423,15508,11127
"Pennsylvania, Beaver",73593,32491,38925
"Pennsylvania, Bedford",19435,13598,5474
"Pennsylvania, Berks",135163,71273,59150
"Pennsylvania, Blair",45140,28376,15774
"Pennsylvania, Bradford",23330,14660,7911
"Pennsylvania, Bucks",263422,121927,132914
"Pennsylvania, Butler",70824,44009,25037
"Pennsylvania, Cambria",60286,28001,30308
"Pennsylvania, Cameron",2246,1383,779
"Pennsylvania, Carbon",21277,9717,10668
"Pennsylvania, Centre",49538,26172,21409
"Pennsylvania, Chester",187562,100080,82047
"Pennsylvania, Clarion",15843,9796,5605
"Pennsylvania, Clearfield",30609,18019,11718
"Pennsylvania, Clinton",11994,6064,5521
"Pennsylvania, Columbia",21894,12095,8975
"Pennsylvania, Crawford",33321,18858,13250
"Pennsylvania, Cumberland",88062,54802,31053
"Pennsylvania, Dauphin",100658,53631,44390
"Pennsylvania, Delaware",248077,105836,134861
"Pennsylvania, Elk",13578,7347,5754
"Pennsylvania, Erie",112335,49027,59399
"Pennsylvania, Fayette",49532,20013,28152
"Pennsylvania, Forest",2283,1371,843
"Pennsylvania, Franklin",48969,33042,14922
"Pennsylvania, Fulton",5285,3753,1425
"Pennsylvania, Greene",13634,5890,7230
"Pennsylvania, Huntingdon",15957,10408,5073
"Pennsylvania, Indiana",31401,16799,13667
"Pennsylvania, Jefferson",17574,11473,5566
"Pennsylvania, Juniata",8667,5795,2656
"Pennsylvania, Lackawanna",96381,35096,57471
"Pennsylvania, Lancaster",175317,115900,54968
"Pennsylvania, Lawrence",39640,18060,20593
"Pennsylvania, Lebanon",45880,28534,16093
"Pennsylvania, Lehigh",116280,55492,56667
"Pennsylvania, Luzerne",119586,52328,62199
"Pennsylvania, Lycoming",43183,27137,14663
"Pennsylvania, McKean",15804,9661,5510
"Pennsylvania, Mercer",48725,23132,23817
"Pennsylvania, Mifflin",14614,9400,4835
"Pennsylvania, Monroe",46878,23265,21939
"Pennsylvania, Montgomery",332422,145623,177990
"Pennsylvania, Montour",6492,3960,2356
"Pennsylvania, Northampton",104690,47396,53097
"Pennsylvania, Northumberland",33251,18142,13670
"Pennsylvania, Perry",16071,11184,4459
"Pennsylvania, Philadelphia",561180,100959,449182
"Pennsylvania, Pike",17364,9339,7330
"Pennsylvania, Potter",7090,4858,2037
"Pennsylvania, Schuylkill",58300,29841,26215
"Pennsylvania, Snyder",12841,8963,3536
"Pennsylvania, Somerset",32985,20218,12028
"Pennsylvania, Sullivan",3105,1928,1066
"Pennsylvania, Susquehanna",17271,10226,6481
"Pennsylvania, Tioga",14772,9635,4617
"Pennsylvania, Union",13175,8523,4209
"Pennsylvania, Venango",20523,11642,8196
"Pennsylvania, Warren",17541,9290,7537
"Pennsylvania, Washington",84441,37339,44961
"Pennsylvania, Wayne",18914,11201,6904
"Pennsylvania, Westmoreland",156709,80858,71792
"Pennsylvania, Wyoming",11693,6922,4363
"Pennsylvania, York",144244,87652,51958
"Rhode Island, Bristol",23272,8375,13424
"Rhode Island, Kent",73470,25291,43265
"Rhode Island, Newport",37838,14258,20790
"Rhode Island, Providence",218308,61378,142469
"Rhode Island, Washington",56224,21253,29560
"South Carolina, Abbeville",8374,4450,3766
"South Carolina, Aiken",50782,33203,16409
"South Carolina, Allendale",3340,967,2338
"South Carolina, Anderson",56681,35827,19606
"South Carolina, Bamberg",5551,2047,3451
"South Carolina, Barnwell",8276,4521,3661
"South Carolina, Beaufort",44148,25561,17487
"South Carolina, Berkeley",43316,24796,17707
"South Carolina, Calhoun",6373,3216,3063
"South Carolina, Charleston",111476,58229,49520
"South Carolina, Cherokee",16323,9900,6138
"South Carolina, Chester",10432,4986,5242
"South Carolina, Chesterfield",12526,6266,6111
"South Carolina, Clarendon",11290,5186,5999
"South Carolina, Colleton",13390,6767,6449
"South Carolina, Darlington",21863,11290,10253
"South Carolina, Dillon",8990,3975,4930
"South Carolina, Dorchester",33641,20734,12168
"South Carolina, Edgefield",8834,4760,3950
"South Carolina, Fairfield",8398,3011,5263
"South Carolina, Florence",41437,23678,17157
"South Carolina, Georgetown",20351,10535,9445
"South Carolina, Greenville",140293,92714,43810
"South Carolina, Greenwood",20860,12193,8139
"South Carolina, Hampton",7759,2798,4896
"South Carolina, Horry",71265,40300,29113
"South Carolina, Jasper",6469,2414,3646
"South Carolina, Kershaw",19677,11911,7428
"South Carolina, Lancaster",20705,11676,8782
"South Carolina, Laurens",20410,12102,7920
"South Carolina, Lee",6642,2675,3899
"South Carolina, Lexington",83081,58095,22830
"South Carolina, McCormick",3661,1704,1896
"South Carolina, Marion",12149,4687,7358
"South Carolina, Marlboro",7883,2699,5060
"South Carolina, Newberry",12372,7492,4428
"South Carolina, Oconee",23575,15364,7571
"South Carolina, Orangeburg",32734,12657,19802
"South Carolina, Pickens",34582,24681,8927
"South Carolina, Richland",116481,50164,63179
"South Carolina, Saluda",6891,4098,2682
"South Carolina, Spartanburg",83553,52114,29559
"South Carolina, Sumter",30672,15915,14365
"South Carolina, Union",10589,5768,4662
"South Carolina, Williamsburg",11331,4524,6723
"South Carolina, York",54351,33776,19251
"South Dakota, Aurora",1413,847,513
"South Dakota, Beadle",7739,4347,3216
"South Dakota, Bennett",1116,712,377
"South Dakota, Bon Homme",3139,1901,1162
"South Dakota, Brookings",10984,6212,4546
"South Dakota, Brown",16556,9060,7173
"South Dakota, Brule",2167,1268,818
"South Dakota, Buffalo",408,140,256
"South Dakota, Butte",3689,2760,840
"South Dakota, Campbell",917,739,147
"South Dakota, Charles Mix",3579,2205,1300
"South Dakota, Clark",2108,1272,791
"South Dakota, Clay",5105,2363,2638
"South Dakota, Codington",11138,6718,4192
"South Dakota, Corson",1243,629,549
"South Dakota, Custer",3573,2495,955
"South Dakota, Davison",7528,4445,2936
"South Dakota, Day",3197,1623,1492
"South Dakota, Deuel",2224,1245,926
"South Dakota, Dewey",1681,761,880
"South Dakota, Douglas",1709,1311,363
"South Dakota, Edmunds",1986,1257,676
"South Dakota, Fall River",3429,2185,1133
"South Dakota, Faulk",1329,904,388
"South Dakota, Grant",3830,2235,1475
"South Dakota, Gregory",2257,1487,718
"South Dakota, Haakon",1129,938,164
"South Dakota, Hamlin",2723,1731,923
"South Dakota, Hand",2031,1419,565
"South Dakota, Hanson",1421,944,457
"South Dakota, Harding",731,650,64
"South Dakota, Hughes",7534,5188,2212
"South Dakota, Hutchinson",3625,2497,1052
"South Dakota, Hyde",835,592,218
"South Dakota, Jackson",1040,687,319
"South Dakota, Jerauld",1122,624,468
"South Dakota, Jones",664,509,137
"South Dakota, Kingsbury",2727,1612,1049
"South Dakota, Lake",5154,2724,2331
"South Dakota, Lawrence",9406,6327,2797
"South Dakota, Lincoln",10556,6546,3844
"South Dakota, Lyman",1386,875,482
"South Dakota, McCook",2631,1610,965
"South Dakota, McPherson",1417,1073,295
"South Dakota, Marshall",2079,1097,939
"South Dakota, Meade",9366,6870,2267
"South Dakota, Mellette",733,495,222
"South Dakota, Miner",1266,724,523
"South Dakota, Minnehaha",61369,33428,27042
"South Dakota, Moody",2735,1361,1318
"South Dakota, Pennington",36557,24696,11123
"South Dakota, Perkins",1614,1237,297
"South Dakota, Potter",1494,1112,356
"South Dakota, Roberts",4074,2237,1700
"South Dakota, Sanborn",1268,767,468
"South Dakota, Oglala Lakota",1953,252,1667
"South Dakota, Spink",3284,1957,1274
"South Dakota, Stanley",1381,955,402
"South Dakota, Sully",871,633,209
"South Dakota, Todd",1494,478,993
"South Dakota, Tripp",2765,1909,799
"South Dakota, Turner",4004,2514,1414
"South Dakota, Union",5772,3265,2358
"South Dakota, Walworth",2553,1758,721
"South Dakota, Yankton",8740,4904,3596
"South Dakota, Ziebach",721,384,314
"Tennessee, Anderson",28779,14688,13556
"Tennessee, Bedford",12207,5911,6136
"Tennessee, Benton",6311,2484,3700
"Tennessee, Bledsoe",4196,2380,1756
"Tennessee, Blount",40662,25273,14688
"Tennessee, Bradley",29443,20167,8768
"Tennessee, Campbell",12421,5784,6492
"Tennessee, Cannon",4697,1924,2697
"Tennessee, Carroll",10827,5465,5239
"Tennessee, Carter",19102,12111,6724
"Tennessee, Cheatham",12616,6356,6062
"Tennessee, Chester",5728,3487,2192
"Tennessee, Claiborne",9000,5023,3841
"Tennessee, Clay",3442,1468,1931
"Tennessee, Cocke",10239,6185,3872
"Tennessee, Coffee",17788,8788,8741
"Tennessee, Crockett",5440,2676,2705
"Tennessee, Cumberland",19017,10994,7644
"Tennessee, Davidson",208588,84117,120508
"Tennessee, Decatur",4370,2046,2278
"Tennessee, DeKalb",6265,2411,3765
"Tennessee, Dickson",15556,7016,8332
"Tennessee, Dyer",11841,6282,5425
"Tennessee, Fayette",11529,6402,5037
"Tennessee, Fentress",6029,3417,2529
"Tennessee, Franklin",14691,6560,7828
"Tennessee, Gibson",17137,8286,8663
"Tennessee, Giles",10066,4377,5527
"Tennessee, Grainger",6194,3746,2361
"Tennessee, Greene",20816,12540,7909
"Tennessee, Grundy",4596,1553,2970
"Tennessee, Hamblen",19699,11824,7564
"Tennessee, Hamilton",120379,66605,51708
"Tennessee, Hancock",2075,1343,690
"Tennessee, Hardeman",8803,3729,4953
"Tennessee, Hardin",8782,4951,3735
"Tennessee, Hawkins",17098,10071,6753
"Tennessee, Haywood",6478,2554,3887
"Tennessee, Henderson",8399,5153,3166
"Tennessee, Henry",12309,5944,6093
"Tennessee, Hickman",7264,2914,4239
"Tennessee, Houston",3127,993,2081
"Tennessee, Humphreys",6681,2387,4205
"Tennessee, Jackson",4754,1384,3304
"Tennessee, Jefferson",14087,8657,5226
"Tennessee, Johnson",5657,3740,1813
"Tennessee, Knox",150586,86851,60969
"Tennessee, Lake",2224,781,1419
"Tennessee, Lauderdale",7618,3329,4224
"Tennessee, Lawrence",14470,7613,6643
"Tennessee, Lewis",4420,2037,2281
"Tennessee, Lincoln",10659,5435,5060
"Tennessee, Loudon",16406,10266,5905
"Tennessee, McMinn",16600,10155,6142
"Tennessee, McNairy",8989,4897,4003
"Tennessee, Macon",6491,3366,3059
"Tennessee, Madison",33930,17862,15781
"Tennessee, Marion",10250,4651,5441
"Tennessee, Marshall",9359,4105,5107
"Tennessee, Maury",23400,11930,11127
"Tennessee, Meigs",3390,1797,1555
"Tennessee, Monroe",13003,7514,5327
"Tennessee, Montgomery",39044,19644,18818
"Tennessee, Moore",2301,1145,1107
"Tennessee, Morgan",6162,3144,2921
"Tennessee, Obion",12440,6168,6056
"Tennessee, Overton",7496,2875,4507
"Tennessee, Perry",2866,1165,1650
"Tennessee, Pickett",2239,1281,939
"Tennessee, Polk",5594,2907,2574
"Tennessee, Putnam",22438,11248,10785
"Tennessee, Rhea",9772,5900,3722
"Tennessee, Roane",21326,11345,9575
"Tennessee, Robertson",20164,9675,10249
"Tennessee, Rutherford",62182,33445,27360
"Tennessee, Scott",6615,3579,2967
"Tennessee, Sequatchie",3887,2169,1648
"Tennessee, Sevier",25365,16734,8208
"Tennessee, Shelby",336755,141756,190404
"Tennessee, Smith",7348,2384,4884
"Tennessee, Stewart",4782,1826,2870
"Tennessee, Sullivan",55727,33482,21354
"Tennessee, Sumner",50477,27601,22118
"Tennessee, Tipton",16552,10070,6300
"Tennessee, Trousdale",2945,950,1966
"Tennessee, Unicoi",6429,3780,2566
"Tennessee, Union",5821,3199,2564
"Tennessee, Van Buren",2131,845,1255
"Tennessee, Warren",13131,5552,7378
"Tennessee, Washington",37942,22579,14769
"Tennessee, Wayne",5306,3370,1859
"Tennessee, Weakley",11844,6106,5570
"Tennessee, White",7775,3525,4135
"Tennessee, Williamson",58429,38901,18745
"Tennessee, Wilson",35916,18844,16561
"Texas, Anderson",15080,9835,5041
"Texas, Andrews",4024,3091,876
"Texas, Angelina",26974,16648,9957
"Texas, Aransas",8247,5390,2637
"Texas, Archer",3997,2951,993
"Texas, Armstrong",938,772,150
"Texas, Atascosa",10746,6231,4322
"Texas, Austin",9227,6661,2407
"Texas, Bailey",2090,1589,488
"Texas, Bandera",7273,5613,1426
"Texas, Bastrop",18308,10310,6973
"Texas, Baylor",1984,1285,663
"Texas, Bee",8330,4429,3795
"Texas, Bell",63291,41208,21011
"Texas, Bexar",412726,215613,185158
"Texas, Blanco",3767,2777,811
"Texas, Borden",353,283,62
"Texas, Bosque",6770,4745,1930
"Texas, Bowie",30320,18325,11662
"Texas, Brazoria",80019,53445,24883
"Texas, Brazos",46941,32864,12359
"Texas, Brewster",3580,1867,1349
"Texas, Briscoe",772,544,224
"Texas, Brooks",2431,556,1854
"Texas, Brown",12920,9609,3138
"Texas, Burleson",5866,3542,2235
"Texas, Burnet",13232,9286,3557
"Texas, Caldwell",9425,5216,3872
"Texas, Calhoun",6563,3724,2766
"Texas, Callahan",4896,3656,1174
"Texas, Cameron",62057,27800,33214
"Texas, Camp",3784,2121,1625
"Texas, Carson",2742,2216,480
"Texas, Cass",11019,6295,4618
"Texas, Castro",2354,1607,727
"Texas, Chambers",9806,6769,2888
"Texas, Cherokee",14537,9599,4755
"Texas, Childress",2126,1506,602
"Texas, Clay",4637,3112,1460
"Texas, Cochran",1171,807,344
"Texas, Coke",1515,1137,355
"Texas, Coleman",3578,2687,853
"Texas, Collin",175420,128179,42884
"Texas, Collingsworth",1415,974,429
"Texas, Colorado",7249,4913,2229
"Texas, Comal",32748,24599,7131
"Texas, Comanche",5022,3334,1636
"Texas, Concho",1103,818,268
"Texas, Cooke",13469,10128,3153
"Texas, Coryell",15087,10321,4493
"Texas, Cottle",757,502,241
"Texas, Crane",1654,1246,387
"Texas, Crockett",1398,924,467
"Texas, Crosby",2002,1270,705
"Texas, Culberson",1012,413,577
"Texas, Dallam",1744,1385,341
"Texas, Dallas",613039,322345,275308
"Texas, Dawson",4839,3337,1463
"Texas, Deaf Smith",4984,3687,1240
"Texas, Delta",1900,1143,726
"Texas, Denton",146790,102171,40144
"Texas, Dewitt",6183,4541,1570
"Texas, Dickens",881,589,284
"Texas, Dimmit",3753,1032,2678
"Texas, Donley",1719,1333,360
"Texas, Duval",5030,1010,3990
"Texas, Eastland",6414,4531,1774
"Texas, Ector",32901,22893,9425
"Texas, Edwards",937,663,261
"Texas, Ellis",37307,26091,10629
"Texas, El Paso",145042,57574,83848
"Texas, Erath",11115,8126,2804
"Texas, Falls",5715,3239,2417
"Texas, Fannin",10340,6074,4102
"Texas, Fayette",9387,6658,2542
"Texas, Fisher",1872,968,884
"Texas, Floyd",2420,1830,580
"Texas, Foard",556,286,263
"Texas, Fort Bend",123509,73567,47569
"Texas, Franklin",3472,2420,1018
"Texas, Freestone",6641,4247,2316
"Texas, Frio",4128,1774,2317
"Texas, Gaines",3459,2691,723
"Texas, Galveston",92983,50397,40020
"Texas, Garza",1770,1302,454
"Texas, Gillespie",9920,8096,1511
"Texas, Glasscock",571,528,39
"Texas, Goliad",3392,2108,1233
"Texas, Gonzales",6069,4092,1877
"Texas, Gray",8185,6732,1376
"Texas, Grayson",39940,25596,13647
"Texas, Gregg",38433,26739,11244
"Texas, Grimes",6802,4197,2450
"Texas, Guadalupe",30567,21499,8311
"Texas, Hale",9110,6868,2158
"Texas, Hall",1446,966,472
"Texas, Hamilton",3376,2447,878
"Texas, Hansford",2088,1874,198
"Texas, Hardeman",1557,976,566
"Texas, Hardin",17836,11962,5595
"Texas, Harris",974822,529159,418267
"Texas, Harrison",22970,13834,8878
"Texas, Hartley",2031,1645,359
"Texas, Haskell",2927,1488,1401
"Texas, Hays",34317,20170,11387
"Texas, Hemphill",1474,1203,251
"Texas, Henderson",25627,16607,8704
"Texas, Hidalgo",101050,38301,61390
"Texas, Hill",10735,7054,3524
"Texas, Hockley",6745,5250,1419
"Texas, Hood",17505,12429,4704
"Texas, Hopkins",10910,7076,3692
"Texas, Houston",8236,5308,2833
"Texas, Howard",9548,6668,2744
"Texas, Hudspeth",922,514,380
"Texas, Hunt",24466,16177,7857
"Texas, Hutchinson",9351,7443,1796
"Texas, Irion",793,624,162
"Texas, Jack",2974,2107,822
"Texas, Jackson",4856,3365,1446
"Texas, Jasper",11742,7071,4533
"Texas, Jeff Davis",1060,708,283
"Texas, Jefferson",86909,40320,45409
"Texas, Jim Hogg",2157,623,1512
"Texas, Jim Wells",12023,4498,7418
"Texas, Johnson",38726,26202,11778
"Texas, Jones",6048,4080,1899
"Texas, Karnes",4308,2638,1617
"Texas, Kaufman",23063,15290,7455
"Texas, Kendall",11073,8788,1901
"Texas, Kenedy",228,106,119
"Texas, Kent",536,346,185
"Texas, Kerr",19228,14637,4002
"Texas, Kimble",1666,1313,328
"Texas, King",137,120,14
"Texas, Kinney",1444,932,486
"Texas, Kleberg",9194,4526,4481
"Texas, Knox",1576,947,617
"Texas, Lamar",15430,9775,5553
"Texas, Lamb",4598,3451,1114
"Texas, Lampasas",6214,4526,1569
"Texas, La Salle",2014,731,1266
"Texas, Lavaca",7546,5288,2171
"Texas, Lee",5536,3699,1733
"Texas, Leon",6326,4362,1893
"Texas, Liberty",20077,12458,7311
"Texas, Limestone",7075,4212,2768
"Texas, Lipscomb",1294,1072,206
"Texas, Live Oak",4004,2828,1114
"Texas, Llano",8627,6295,2143
"Texas, Loving",156,124,29
"Texas, Lubbock",76008,56054,18469
"Texas, Lynn",2084,1507,562
"Texas, McCulloch",2920,2084,794
"Texas, McLennan",68789,43955,23462
"Texas, McMullen",439,358,77
"Texas, Madison",3623,2333,1241
"Texas, Marion",3930,2039,1852
"Texas, Martin",1949,1520,415
"Texas, Mason",1801,1352,417
"Texas, Matagorda",12459,7584,4696
"Texas, Maverick",9229,3143,5995
"Texas, Medina",12873,8590,4025
"Texas, Menard",990,642,334
"Texas, Midland",39740,31514,7534
"Texas, Milam",8269,4706,3429
"Texas, Mills",2314,1738,548
"Texas, Mitchell",2574,1708,837
"Texas, Montague",7330,4951,2256
"Texas, Montgomery",106213,80600,23286
"Texas, Moore",5290,4201,1040
"Texas, Morris",4889,2381,2455
"Texas, Motley",642,514,118
"Texas, Nacogdoches",19799,13145,6204
"Texas, Navarro",13890,8358,5366
"Texas, Newton",4990,2423,2503
"Texas, Nolan",5312,3337,1874
"Texas, Nueces",97326,49906,45349
"Texas, Ochiltree",2962,2687,251
"Texas, Oldham",774,659,108
"Texas, Orange",29654,17325,11887
"Texas, Palo Pinto",9118,5690,3263
"Texas, Panola",9074,5975,3011
"Texas, Parker",33225,23651,8878
"Texas, Parmer",2744,2274,447
"Texas, Pecos",4303,2700,1539
"Texas, Polk",18994,11746,6877
"Texas, Potter",25376,17629,7242
"Texas, Presidio",1757,618,1064
"Texas, Rains",3333,2049,1225
"Texas, Randall",41790,33921,7209
"Texas, Reagan",1255,959,282
"Texas, Real",1490,1146,316
"Texas, Red River",5202,2941,2219
"Texas, Reeves",3176,1273,1872
"Texas, Refugio",2921,1721,1172
"Texas, Roberts",549,472,72
"Texas, Robertson",6369,3007,3283
"Texas, Rockwall",17652,13666,3642
"Texas, Runnels",4046,3020,969
"Texas, Rusk",16633,11611,4841
"Texas, Sabine",4591,2764,1753
"Texas, San Augustine",3805,2116,1636
"Texas, San Jacinto",7714,4623,2946
"Texas, San Patricio",18699,10599,7840
"Texas, San Saba",2333,1691,618
"Texas, Schleicher",1173,826,338
"Texas, Scurry",5326,4060,1193
"Texas, Shackelford",1347,1066,264
"Texas, Shelby",9005,5692,3227
"Texas, Sherman",1163,998,144
"Texas, Smith",60624,43320,16470
"Texas, Somervell",2918,2120,752
"Texas, Starr",8464,1911,6505
"Texas, Stephens",3291,2425,811
"Texas, Sterling",659,520,132
"Texas, Stonewall",799,496,294
"Texas, Sutton",1540,1063,468
"Texas, Swisher",2501,1612,856
"Texas, Tarrant",472389,286921,173758
"Texas, Taylor",43020,31701,10504
"Texas, Terrell",477,243,219
"Texas, Terry",4054,2910,1108
"Texas, Throckmorton",842,608,228
"Texas, Titus",8103,4995,3008
"Texas, Tom Green",34626,24733,9288
"Texas, Travis",301263,141235,125526
"Texas, Trinity",5297,3093,2142
"Texas, Tyler",7116,4236,2775
"Texas, Upshur",12808,8448,4180
"Texas, Upton",1273,982,266
"Texas, Uvalde",8420,4855,3436
"Texas, Val Verde",11474,6223,5056
"Texas, Van Zandt",17891,12383,5245
"Texas, Victoria",27408,18787,8176
"Texas, Walker",14374,9076,4943
"Texas, Waller",10858,5686,5046
"Texas, Ward",3874,2534,1256
"Texas, Washington",11809,8645,2996
"Texas, Webb",31571,13076,18120
"Texas, Wharton",13426,8455,4838
"Texas, Wheeler",2389,1787,579
"Texas, Wichita",42713,27802,14108
"Texas, Wilbarger",4577,3138,1356
"Texas, Willacy",5062,1789,3218
"Texas, Williamson",95935,65041,26591
"Texas, Wilson",11698,7509,3997
"Texas, Winkler",2043,1468,556
"Texas, Wise",16368,11234,4830
"Texas, Wood",13884,9810,3893
"Texas, Yoakum",2465,1911,531
"Texas, Young",6954,5022,1843
"Texas, Zapata",2616,953,1638
"Texas, Zavala",3391,751,2616
"Utah, Beaver",2252,1653,541
"Utah, Box Elder",15483,12288,2555
"Utah, Cache",33142,25920,5170
"Utah, Carbon",7384,3758,3298
"Utah, Daggett",435,317,104
"Utah, Davis",87855,64375,18845
"Utah, Duchesne",4546,3622,779
"Utah, Emery",4398,3243,958
"Utah, Garfield",1968,1719,178
"Utah, Grand",3614,1822,1158
"Utah, Iron",12594,10106,1789
"Utah, Juab",2785,2023,619
"Utah, Kane",2802,2254,387
"Utah, Millard",4775,3850,696
"Utah, Morgan",3171,2464,553
"Utah, Piute",781,626,133
"Utah, Rich",903,736,152
"Utah, Salt Lake",307258,171585,107576
"Utah, San Juan",4744,2721,1838
"Utah, Sanpete",7430,5781,1211
"Utah, Sevier",7077,5763,1046
"Utah, Summit",12121,6168,4601
"Utah, Tooele",12480,7807,4001
"Utah, Uintah",8397,6733,1387
"Utah, Utah",120256,98255,16445
"Utah, Wasatch",5675,3819,1476
"Utah, Washington",32461,25481,5465
"Utah, Wayne",1225,953,202
"Utah, Weber",62742,39254,19890
"Vermont, Addison",17427,6953,8936
"Vermont, Bennington",17677,7284,9021
"Vermont, Caledonia",13641,6746,5859
"Vermont, Chittenden",72017,26105,39156
"Vermont, Essex",2892,1564,1129
"Vermont, Franklin",19194,8395,9514
"Vermont, Grand Isle",3638,1550,1835
