Location,total_votes,2000_republican_votes,2000_democrat_votes
"Idaho, Gooding",5026,3502,1282
"Idaho, Idaho",7452,5806,1187
"Idaho, Jefferson",7836,6480,1100
"Idaho, Jerome",6007,4418,1360
"Idaho, Kootenai",43812,28162,13488
"Idaho, Latah",15311,8161,5661
"Idaho, Lemhi",3641,2859,660
"Idaho, Lewis",1688,1295,335
"Idaho, Lincoln",1574,1049,437
"Idaho, Madison",8970,7941,816
"Idaho, Minidoka",6518,4907,1344
"Idaho, Nez Perce",16021,10577,4995
"Idaho, Oneida",1798,1426,307
"Idaho, Owyhee",3188,2450,623
"Idaho, Payette",6858,4961,1643
"Idaho, Power",2709,1872,755
"Idaho, Shoshone",5385,2879,2225
"Idaho, Teton",2671,1745,720
"Idaho, Twin Falls",22530,15794,5777
"Idaho, Valley",3978,2548,1129
"Idaho, Washington",4070,2899,980
"Illinois, Adams",30109,17331,12197
"Illinois, Alexander",4022,1588,2357
"Illinois, Bond",7032,3804,3060
"Illinois, Boone",15523,8617,6481
"Illinois, Brown",2660,1529,1077
"Illinois, Bureau",16823,8526,7754
"Illinois, Calhoun",2602,1229,1310
"Illinois, Carroll",7177,3835,3113
"Illinois, Cass",5899,2968,2789
"Illinois, Champaign",74285,34645,35515
"Illinois, Christian",14771,7537,6799
"Illinois, Clark",7512,4398,2932
"Illinois, Clay",6135,3789,2212
"Illinois, Clinton",15427,8588,6436
"Illinois, Coles",20093,10495,8904
"Illinois, Cook",1865907,534542,1280547
"Illinois, Crawford",8500,4974,3333
"Illinois, Cumberland",4975,2964,1870
"Illinois, DeKalb",33233,17139,14798
"Illinois, De Witt",7051,3968,2870
"Illinois, Douglas",8152,4734,3215
"Illinois, DuPage",364362,201037,152550
"Illinois, Edgar",8232,4833,3216
"Illinois, Edwards",3260,2212,978
"Illinois, Effingham",14485,9855,4225
"Illinois, Fayette",9338,5200,3886
"Illinois, Ford",6153,3889,2090
"Illinois, Franklin",19212,8490,10201
"Illinois, Fulton",16277,6936,8940
"Illinois, Gallatin",3558,1591,1878
"Illinois, Greene",5767,3129,2490
"Illinois, Grundy",16584,8709,7516
"Illinois, Hamilton",4587,2519,1943
"Illinois, Hancock",9691,5134,4256
"Illinois, Hardin",2637,1366,1184
"Illinois, Henderson",3866,1708,2030
"Illinois, Henry",23470,10896,11921
"Illinois, Iroquois",13424,8685,4397
"Illinois, Jackson",23090,9823,11773
"Illinois, Jasper",5021,3119,1815
"Illinois, Jefferson",15360,8362,6685
"Illinois, Jersey",9413,4699,4355
"Illinois, Jo Daviess",10322,5304,4585
"Illinois, Johnson",5362,3285,1928
"Illinois, Kane",141405,76996,60127
"Illinois, Kankakee",40183,20049,19180
"Illinois, Kendall",22769,13688,8444
"Illinois, Knox",23174,9912,12572
"Illinois, Lake",242164,120988,115058
"Illinois, LaSalle",46007,21276,23355
"Illinois, Lawrence",6578,3594,2822
"Illinois, Lee",14620,8069,6111
"Illinois, Livingston",15421,9187,5829
"Illinois, Logan",13065,8141,4600
"Illinois, McDonough",13012,6465,6080
"Illinois, McHenry",106185,62112,40698
"Illinois, McLean",60898,34008,24936
"Illinois, Macon",49499,23830,24262
"Illinois, Macoupin",21389,9749,11015
"Illinois, Madison",111104,48821,59077
"Illinois, Marion",16663,8240,8068
"Illinois, Marshall",5907,3145,2570
"Illinois, Mason",6772,3411,3192
"Illinois, Massac",6744,3676,2912
"Illinois, Menard",6202,3862,2164
"Illinois, Mercer",8318,3688,4400
"Illinois, Monroe",13796,7632,5797
"Illinois, Montgomery",13093,6226,6542
