Location,Total_Votes_2016,2016_republican_votes,2016_democrat_votes
"Georgia, Emanuel",7860,5335,2435
"Georgia, Evans",3613,2404,1130
"Georgia, Fannin",11812,9632,1923
"Georgia, Fayette",60913,35048,23284
"Georgia, Floyd",34608,24114,9159
"Georgia, Forsyth",98221,69851,23462
"Georgia, Franklin",8502,7054,1243
"Georgia, Fulton",431391,117783,297051
"Georgia, Gilmer",12773,10477,1965
"Georgia, Glascock",1390,1235,138
"Georgia, Glynn",34263,21512,11775
"Georgia, Gordon",18959,15191,3181
"Georgia, Grady",9213,6053,3013
"Georgia, Greene",8852,5490,3199
"Georgia, Gwinnett",328331,146989,166153
"Georgia, Habersham",16243,13190,2483
"Georgia, Hall",70694,51733,16180
"Georgia, Hancock",3580,843,2701
"Georgia, Haralson",11357,9585,1475
"Georgia, Harris",16502,11936,4086
"Georgia, Hart",10117,7286,2585
"Georgia, Heard",4223,3370,743
"Georgia, Henry",98766,45724,50057
"Georgia, Houston",60079,35430,22553
"Georgia, Irwin",3670,2716,891
"Georgia, Jackson",27190,21784,4491
"Georgia, Jasper",6045,4360,1544
"Georgia, Jeff Davis",5096,4104,901
"Georgia, Jefferson",6968,3063,3821
"Georgia, Jenkins",3056,1895,1123
"Georgia, Johnson",3686,2519,1136
"Georgia, Jones",12551,8305,3961
"Georgia, Lamar",7612,5190,2270
"Georgia, Lanier",2871,1984,806
"Georgia, Laurens",19530,12411,6752
"Georgia, Lee",14143,10646,3170
"Georgia, Liberty",16143,6134,9556
"Georgia, Lincoln",4102,2759,1273
"Georgia, Long",4117,2626,1360
"Georgia, Lowndes",37805,21635,15064
"Georgia, Lumpkin",12425,9619,2220
"Georgia, Macon",4287,1540,2705
"Georgia, Madison",11998,9201,2425
"Georgia, Marion",3190,1921,1213
"Georgia, McDuffie",9268,5432,3699
"Georgia, McIntosh",5903,3487,2303
"Georgia, Meriwether",9217,5222,3804
"Georgia, Miller",2544,1891,623
"Georgia, Mitchell",7880,4279,3493
"Georgia, Monroe",12687,8832,3571
"Georgia, Montgomery",3576,2670,847
"Georgia, Morgan",9475,6559,2663
"Georgia, Murray",12458,10341,1800
"Georgia, Muscogee",69032,26976,39851
"Georgia, Newton",43987,20913,21943
"Georgia, Oconee",20149,13425,5581
"Georgia, Oglethorpe",6674,4625,1831
"Georgia, Paulding",64890,44662,18025
"Georgia, Peach",10752,5413,5100
"Georgia, Pickens",14038,11651,1979
"Georgia, Pierce",7311,6302,903
"Georgia, Pike",8725,7278,1240
"Georgia, Polk",14215,11014,2867
"Georgia, Pulaski",3605,2437,1104
"Georgia, Putnam",9488,6544,2758
"Georgia, Quitman",1044,575,461
"Georgia, Rabun",7992,6287,1444
"Georgia, Randolph",2899,1271,1598
"Georgia, Richmond",75515,24461,48814
"Georgia, Rockdale",37869,13478,23255
"Georgia, Schley",1909,1472,401
"Georgia, Screven",5715,3305,2300
"Georgia, Seminole",3588,2345,1189
"Georgia, Spalding",25704,15646,9357
"Georgia, Stephens",9815,7686,1837
"Georgia, Stewart",2058,805,1222
"Georgia, Sumter",10974,5276,5520
"Georgia, Talbot",3246,1196,2002
"Georgia, Taliaferro",897,349,545
"Georgia, Tattnall",6903,5096,1681
"Georgia, Taylor",3408,2064,1296
"Georgia, Telfair",3796,2450,1313
"Georgia, Terrell",4189,1874,2267
"Georgia, Thomas",18802,11228,7142
"Georgia, Tift",14219,9584,4347
"Georgia, Toombs",9138,6615,2338
"Georgia, Towns",6764,5383,1210
"Georgia, Treutlen",2703,1809,862
"Georgia, Troup",26111,15750,9713
"Georgia, Turner",3398,2095,1246
