Location,2012,total_votes,2012_democrat_votes,2012_republican_votes
"Arkansas, Monroe","7,854",3230,1583.0,1585.0
"Arkansas, Montgomery","9,340",3404,920.0,2369.0
"Arkansas, Nevada","8,909",3384,1314.0,1996.0
"Arkansas, Newton","8,052",3661,993.0,2508.0
"Arkansas, Ouachita","25,398",10315,4633.0,5521.0
"Arkansas, Perry","10,328",3938,1187.0,2581.0
"Arkansas, Phillips","20,736",7930,5202.0,2598.0
"Arkansas, Pike","11,254",3788,851.0,2847.0
"Arkansas, Poinsett","24,299",7560,2390.0,4974.0
"Arkansas, Polk","20,420",7726,1556.0,5955.0
"Arkansas, Pope","62,631",20439,5126.0,14763.0
"Arkansas, Prairie","8,482",3141,880.0,2153.0
"Arkansas, Pulaski","389,225",159381,87248.0,68984.0
"Arkansas, Randolph","17,840",5956,2046.0,3701.0
"Arkansas, St. Francis",,8362,4910.0,3368.0
"Arkansas, Saline","111,442",47062,12869.0,32963.0
"Arkansas, Scott","11,033",3640,897.0,2631.0
"Arkansas, Searcy","8,005",3694,814.0,2699.0
"Arkansas, Sebastian","127,571",43362,13092.0,29169.0
"Arkansas, Sevier","17,188",4330,1042.0,3136.0
"Arkansas, Sharp","17,034",7283,2092.0,4921.0
"Arkansas, Stone","12,542",5354,1356.0,3776.0
"Arkansas, Union","40,861",17177,6196.0,10699.0
"Arkansas, Van Buren","17,162",6430,1832.0,4365.0
"Arkansas, Washington","211,756",70460,28236.0,39688.0
"Arkansas, White","78,641",26514,5765.0,20011.0
"Arkansas, Woodruff","7,052",2685,1340.0,1227.0
"Arkansas, Yell","21,824",5974,1722.0,4042.0
"California, Alameda","1,553,764",595642,469684.0,108182.0
"California, Alpine","1,110",653,389.0,236.0
"California, Amador","37,104",17649,6830.0,10281.0
"California, Butte","220,869",90752,42669.0,44479.0
"California, Calaveras","44,815",21786,8670.0,12365.0
"California, Colusa","21,284",6034,2314.0,3601.0
"California, Contra Costa","1,077,548",438226,290824.0,136517.0
"California, Del Norte","28,190",8770,3791.0,4614.0
"California, El Dorado","180,575",88774,35166.0,50973.0
"California, Fresno","945,045",258827,129129.0,124490.0
"California, Glenn","27,851",9211,3301.0,5632.0
"California, Humboldt","134,572",57470,34457.0,18825.0
"California, Imperial","176,575",38565,25136.0,12777.0
"California, Inyo","18,351",8036,3422.0,4340.0
